instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,cnt,peak
54,1/3/2011,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,154,1
55,1/3/2011,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,88,0
56,1/3/2011,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,44,0
57,1/3/2011,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,51,0
58,1/3/2011,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,61,1
59,1/3/2011,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,61,1
60,1/3/2011,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,77,0
61,1/3/2011,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,72,0
62,1/3/2011,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,76,0
63,1/3/2011,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,157,1
64,1/3/2011,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,157,1
65,1/3/2011,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,110,0
66,1/3/2011,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,52,0
67,1/3/2011,1,0,1,21,0,1,1,1,0.18,0.197,0.64,52,0
68,1/3/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,20,0
69,1/3/2011,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,12,0
70,1/4/2011,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,5,0
71,1/4/2011,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,2,0
72,1/4/2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,1,0
73,1/4/2011,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,2,0
74,1/4/2011,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,4,0
75,1/4/2011,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,36,0
76,1/4/2011,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,94,0
77,1/4/2011,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,179,1
78,1/4/2011,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,100,0
79,1/4/2011,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,42,0
80,1/4/2011,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,57,0
81,1/4/2011,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,78,1
82,1/4/2011,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,97,1
83,1/4/2011,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,63,0
84,1/4/2011,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,65,0
85,1/4/2011,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,83,0
86,1/4/2011,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,212,1
87,1/4/2011,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,182,1
88,1/4/2011,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,112,0
89,1/4/2011,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,54,0
90,1/4/2011,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,48,0
91,1/4/2011,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,35,0
92,1/4/2011,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,11,0
93,1/5/2011,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,6,0
94,1/5/2011,1,0,1,1,0,3,1,1,0.16,0.197,0.74,6,0
95,1/5/2011,1,0,1,2,0,3,1,1,0.16,0.197,0.74,2,0
96,1/5/2011,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,2,0
97,1/5/2011,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,3,0
98,1/5/2011,1,0,1,6,0,3,1,1,0.2,0.197,0.47,33,0
99,1/5/2011,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,88,0
100,1/5/2011,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,195,1
101,1/5/2011,1,0,1,9,0,3,1,1,0.22,0.197,0.37,115,0
102,1/5/2011,1,0,1,10,0,3,1,1,0.22,0.197,0.37,57,0
103,1/5/2011,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,46,0
104,1/5/2011,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,79,1
105,1/5/2011,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,71,1
106,1/5/2011,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,62,0
107,1/5/2011,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,62,0
108,1/5/2011,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,89,0
109,1/5/2011,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,190,1
110,1/5/2011,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,169,1
111,1/5/2011,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,132,0
112,1/5/2011,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,89,0
113,1/5/2011,1,0,1,21,0,3,1,1,0.2,0.197,0.51,43,0
114,1/5/2011,1,0,1,22,0,3,1,1,0.18,0.197,0.55,42,0
115,1/5/2011,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,19,0
116,1/6/2011,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,11,0
117,1/6/2011,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,4,0
118,1/6/2011,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,2,0
119,1/6/2011,1,0,1,4,0,4,1,2,0.16,0.197,0.64,1,0
120,1/6/2011,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,4,0
121,1/6/2011,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,36,0
122,1/6/2011,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,95,0
123,1/6/2011,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,219,1
124,1/6/2011,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,122,0
125,1/6/2011,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,45,0
126,1/6/2011,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,59,0
127,1/6/2011,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,84,1
128,1/6/2011,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,67,1
129,1/6/2011,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,70,0
130,1/6/2011,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,62,0
131,1/6/2011,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,86,0
132,1/6/2011,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,172,1
133,1/6/2011,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,163,1
134,1/6/2011,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,112,0
135,1/6/2011,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,69,0
136,1/6/2011,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,48,0
137,1/6/2011,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,52,0
138,1/6/2011,1,0,1,23,0,4,1,2,0.2,0.197,0.59,23,0
139,1/7/2011,1,0,1,0,0,5,1,2,0.2,0.197,0.64,17,0
140,1/7/2011,1,0,1,1,0,5,1,2,0.2,0.197,0.69,7,0
141,1/7/2011,1,0,1,2,0,5,1,2,0.2,0.197,0.69,1,0
142,1/7/2011,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,1,0
143,1/7/2011,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,5,0
144,1/7/2011,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,34,0
145,1/7/2011,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,84,0
146,1/7/2011,1,0,1,8,0,5,1,1,0.2,0.197,0.51,210,1
147,1/7/2011,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,134,0
148,1/7/2011,1,0,1,10,0,5,1,1,0.22,0.197,0.37,63,0
149,1/7/2011,1,0,1,11,0,5,1,2,0.2,0.197,0.4,67,0
150,1/7/2011,1,0,1,12,0,5,1,2,0.2,0.197,0.37,59,1
151,1/7/2011,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,73,1
152,1/7/2011,1,0,1,14,0,5,1,2,0.2,0.197,0.4,50,0
153,1/7/2011,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,72,0
154,1/7/2011,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,87,0
155,1/7/2011,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,187,1
156,1/7/2011,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,123,1
157,1/7/2011,1,0,1,19,0,5,1,1,0.16,0.197,0.55,95,0
158,1/7/2011,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,51,0
159,1/7/2011,1,0,1,21,0,5,1,1,0.18,0.197,0.47,39,0
160,1/7/2011,1,0,1,22,0,5,1,2,0.18,0.197,0.43,36,0
161,1/7/2011,1,0,1,23,0,5,1,2,0.18,0.197,0.51,15,0
162,1/8/2011,1,0,1,0,0,6,0,2,0.18,0.197,0.51,25,0
163,1/8/2011,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,16,0
164,1/8/2011,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,16,0
165,1/8/2011,1,0,1,3,0,6,0,3,0.18,0.197,0.55,7,0
166,1/8/2011,1,0,1,4,0,6,0,3,0.18,0.197,0.55,1,0
167,1/8/2011,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,5,0
168,1/8/2011,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,2,0
169,1/8/2011,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,9,0
170,1/8/2011,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,15,0
171,1/8/2011,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,20,0
172,1/8/2011,1,0,1,10,0,6,0,2,0.18,0.197,0.8,61,1
173,1/8/2011,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,62,1
174,1/8/2011,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,98,1
175,1/8/2011,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,102,1
176,1/8/2011,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,95,1
177,1/8/2011,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,74,1
178,1/8/2011,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,76,1
179,1/8/2011,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,69,1
180,1/8/2011,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,55,1
181,1/8/2011,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,30,1
182,1/8/2011,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,28,0
183,1/8/2011,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,37,0
184,1/8/2011,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,34,0
185,1/8/2011,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,22,0
186,1/9/2011,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,25,0
187,1/9/2011,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,12,0
188,1/9/2011,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,11,0
189,1/9/2011,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,4,0
190,1/9/2011,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,1,0
191,1/9/2011,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,1,0
192,1/9/2011,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,1,0
193,1/9/2011,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,6,0
194,1/9/2011,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,10,0
195,1/9/2011,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,19,0
196,1/9/2011,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,49,1
197,1/9/2011,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,49,1
198,1/9/2011,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,83,1
199,1/9/2011,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,75,1
200,1/9/2011,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,72,1
201,1/9/2011,1,0,1,15,0,0,0,1,0.22,0.197,0.35,82,1
202,1/9/2011,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,92,1
203,1/9/2011,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,62,1
204,1/9/2011,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,48,1
205,1/9/2011,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,41,1
206,1/9/2011,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,38,0
207,1/9/2011,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,20,0
208,1/9/2011,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,15,0
209,1/9/2011,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,6,0
210,1/10/2011,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,5,0
211,1/10/2011,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,1,0
212,1/10/2011,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,3,0
213,1/10/2011,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,1,0
214,1/10/2011,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,3,0
215,1/10/2011,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,3,0
216,1/10/2011,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,31,0
217,1/10/2011,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,77,0
218,1/10/2011,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,188,1
219,1/10/2011,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,94,0
220,1/10/2011,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,31,0
221,1/10/2011,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,30,0
222,1/10/2011,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,52,1
223,1/10/2011,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,54,1
224,1/10/2011,1,0,1,14,0,1,1,2,0.2,0.197,0.4,47,0
225,1/10/2011,1,0,1,15,0,1,1,2,0.2,0.197,0.4,45,0
226,1/10/2011,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,74,0
227,1/10/2011,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,178,1
228,1/10/2011,1,0,1,18,0,1,1,1,0.2,0.197,0.4,155,1
229,1/10/2011,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,95,0
230,1/10/2011,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,74,0
231,1/10/2011,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,38,0
232,1/10/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,24,0
233,1/10/2011,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,18,0
234,1/11/2011,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,12,0
235,1/11/2011,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,3,0
236,1/11/2011,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,3,0
237,1/11/2011,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,6,0
238,1/11/2011,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,27,0
239,1/11/2011,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,99,0
240,1/11/2011,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,217,1
241,1/11/2011,1,0,1,9,0,2,1,2,0.18,0.197,0.51,130,0
242,1/11/2011,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,54,0
243,1/11/2011,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,35,0
244,1/11/2011,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,57,1
245,1/11/2011,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,52,1
246,1/11/2011,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,63,0
247,1/11/2011,1,0,1,15,0,2,1,2,0.16,0.197,0.8,47,0
248,1/11/2011,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,76,0
249,1/11/2011,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,136,1
250,1/11/2011,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,95,1
251,1/11/2011,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,51,0
252,1/11/2011,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,32,0
253,1/11/2011,1,0,1,21,0,2,1,3,0.16,0.197,0.86,20,0
254,1/11/2011,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,29,0
255,1/11/2011,1,0,1,23,0,2,1,3,0.16,0.197,0.93,19,0
256,1/12/2011,1,0,1,0,0,3,1,2,0.16,0.197,0.86,7,0
257,1/12/2011,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,6,0
258,1/12/2011,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,1,0
259,1/12/2011,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,5,0
260,1/12/2011,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,16,0
261,1/12/2011,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,54,0
262,1/12/2011,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,128,1
263,1/12/2011,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,81,0
264,1/12/2011,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,39,0
265,1/12/2011,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,35,0
266,1/12/2011,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,55,1
267,1/12/2011,1,0,1,13,0,3,1,1,0.22,0.197,0.44,49,1
268,1/12/2011,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,44,0
269,1/12/2011,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,49,0
270,1/12/2011,1,0,1,16,0,3,1,1,0.22,0.197,0.44,68,0
271,1/12/2011,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,139,1
272,1/12/2011,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,137,1
273,1/12/2011,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,83,0
274,1/12/2011,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,56,0
275,1/12/2011,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,57,0
276,1/12/2011,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,33,0
277,1/12/2011,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,20,0
278,1/13/2011,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,7,0
279,1/13/2011,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,2,0
280,1/13/2011,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,2,0
281,1/13/2011,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,3,0
282,1/13/2011,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,4,0
283,1/13/2011,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,3,0
284,1/13/2011,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,28,0
285,1/13/2011,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,72,0
286,1/13/2011,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,202,1
287,1/13/2011,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,139,0
288,1/13/2011,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,38,0
289,1/13/2011,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,37,0
290,1/13/2011,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,52,1
291,1/13/2011,1,0,1,13,0,4,1,1,0.22,0.197,0.41,83,1
292,1/13/2011,1,0,1,14,0,4,1,1,0.22,0.197,0.41,42,0
293,1/13/2011,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,60,0
294,1/13/2011,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,78,0
295,1/13/2011,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,162,1
296,1/13/2011,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,144,1
297,1/13/2011,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,99,0
298,1/13/2011,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,64,0
299,1/13/2011,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,40,0
300,1/13/2011,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,30,0
301,1/13/2011,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,15,0
302,1/14/2011,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,14,0
303,1/14/2011,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,5,0
304,1/14/2011,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,1,0
305,1/14/2011,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,1,0
306,1/14/2011,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,8,0
307,1/14/2011,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,17,0
308,1/14/2011,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,70,0
309,1/14/2011,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,158,1
310,1/14/2011,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,117,0
311,1/14/2011,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,44,0
312,1/14/2011,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,53,0
313,1/14/2011,1,0,1,12,0,5,1,1,0.2,0.197,0.44,61,1
314,1/14/2011,1,0,1,13,0,5,1,1,0.22,0.197,0.37,77,1
315,1/14/2011,1,0,1,14,0,5,1,1,0.22,0.2121,0.41,64,0
316,1/14/2011,1,0,1,15,0,5,1,1,0.24,0.2424,0.38,68,0
317,1/14/2011,1,0,1,16,0,5,1,1,0.22,0.2424,0.41,90,0
318,1/14/2011,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,159,1
319,1/14/2011,1,0,1,18,0,5,1,1,0.2,0.2576,0.47,139,1
320,1/14/2011,1,0,1,19,0,5,1,1,0.16,0.197,0.59,92,0
321,1/14/2011,1,0,1,20,0,5,1,1,0.18,0.2424,0.59,68,0
322,1/14/2011,1,0,1,21,0,5,1,1,0.16,0.2273,0.69,52,0
323,1/14/2011,1,0,1,22,0,5,1,2,0.16,0.2273,0.69,36,0
324,1/14/2011,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,27,0
325,1/15/2011,1,0,1,0,0,6,0,1,0.18,0.2424,0.55,28,0
326,1/15/2011,1,0,1,1,0,6,0,2,0.16,0.197,0.59,20,0
327,1/15/2011,1,0,1,2,0,6,0,2,0.16,0.197,0.59,12,0
328,1/15/2011,1,0,1,3,0,6,0,2,0.16,0.2273,0.59,8,0
329,1/15/2011,1,0,1,4,0,6,0,2,0.16,0.2273,0.59,5,0
330,1/15/2011,1,0,1,5,0,6,0,1,0.16,0.2273,0.59,1,0
331,1/15/2011,1,0,1,6,0,6,0,1,0.14,0.1667,0.63,3,0
